Company,MSE,RMSE,MAE,MAPE,R2,DirectionalAccuracy
RELIANCE.NS,9073802020.781618,95256.50644854459,73030.07404242459,5.0443025785496065,0.4607691844853097,54.729729729729726
TCS.NS,642584105744.4642,801613.4390992109,632152.2065171322,5.279589131708701,0.17618989369818938,51.689189189189186
INFY.NS,67748759467.157616,260285.9186878107,217532.8478367008,9.363170289226197,0.16591316674634105,51.35135135135135
